date,split,model,factor_return
1983-02-01,training,EN,0.0251842714146287
1983-03-01,training,EN,0.0146349449698541
1983-04-01,training,EN,0.0098004057160501
1983-05-01,training,EN,-0.0001648657883281
1983-06-01,training,EN,0.016739002615999
1983-07-01,training,EN,0.012969962256114
1983-08-01,training,EN,-0.0011250439790329
1983-09-01,training,EN,0.0207840601077074
1983-10-01,training,EN,0.0077865437046445
1983-11-01,training,EN,0.0137693382420516
1983-12-01,training,EN,0.0169645661730674
1984-01-01,training,EN,0.012676500943153
1984-02-01,training,EN,0.0031772369372627
1984-03-01,training,EN,0.0147640884276451
1984-04-01,training,EN,0.0123729394907706
1984-05-01,training,EN,0.0208033448352835
1984-06-01,training,EN,0.0166920151351803
1984-07-01,training,EN,0.0156537611306423
1984-08-01,training,EN,0.0077192810063472
1984-09-01,training,EN,0.0229139019498148
1984-10-01,training,EN,0.0205284562469713
1984-11-01,training,EN,0.0188727948272672
1984-12-01,training,EN,0.0172801801400657
1985-01-01,training,EN,-0.0032554005004566
1985-02-01,training,EN,0.0095461772731038
1985-03-01,training,EN,0.0229165552326017
1985-04-01,training,EN,0.014509109012586
1985-05-01,training,EN,0.0090927814741462
1985-06-01,training,EN,0.0037922495149801
1985-07-01,training,EN,0.0052349926937153
1985-08-01,training,EN,0.0153486694495991
1985-09-01,training,EN,0.0131255885431567
1985-10-01,training,EN,0.0198101438162794
1985-11-01,training,EN,0.0114967979928849
1985-12-01,training,EN,0.0137352840590064
1986-01-01,training,EN,0.0077916452004488
1986-02-01,training,EN,0.0010645348241921
1986-03-01,training,EN,0.0063364429690258
1986-04-01,training,EN,0.0105498213371516
1986-05-01,training,EN,0.0064423107855196
1986-06-01,training,EN,0.0095320453622817
1986-07-01,training,EN,0.0144118377830628
1986-08-01,training,EN,0.0135837091292678
1986-09-01,training,EN,0.0035905849190275
1986-10-01,training,EN,0.0256078057840022
1986-11-01,training,EN,0.0108237393354663
1986-12-01,training,EN,0.0133560300583193
1987-01-01,validation,EN,0.0078332367380932
1987-02-01,validation,EN,-0.0016067876398143
1987-03-01,validation,EN,0.0028586389794923
1987-04-01,validation,EN,-0.0005602192554301
1987-05-01,validation,EN,0.0001001214566302
1987-06-01,validation,EN,0.0076201185347467
1987-07-01,validation,EN,-0.0003883169394039
1987-08-01,validation,EN,0.0207259081140112
1987-09-01,validation,EN,0.0083071117228034
1987-10-01,validation,EN,0.0169911326343952
1987-11-01,validation,EN,0.025723740941941
1987-12-01,validation,EN,0.0387885980082099
1988-01-01,validation,EN,0.0223746493516219
1988-02-01,validation,EN,0.0130119360598593
1988-03-01,validation,EN,0.0130748746678525
1988-04-01,validation,EN,0.0074043051418305
1988-05-01,validation,EN,0.0059094451451563
1988-06-01,validation,EN,0.0002802362804929
1988-07-01,validation,EN,0.0065343025849807
1988-08-01,validation,EN,0.0029955009998009
1988-09-01,validation,EN,0.0072719934907326
1988-10-01,validation,EN,0.0115982024926433
1988-11-01,validation,EN,0.0180075512764884
1988-12-01,validation,EN,0.011683993620263
1989-01-01,validation,EN,0.0035884452760775
1989-02-01,validation,EN,0.0150751342448181
1989-03-01,validation,EN,0.0083864465888444
1989-04-01,validation,EN,0.0071062949719969
1989-05-01,validation,EN,-0.0049873470882899
1989-06-01,validation,EN,0.012878795581132
1989-07-01,validation,EN,0.0146374764148305
1989-08-01,validation,EN,0.0082902436624955
1989-09-01,validation,EN,0.008128340502574
1989-10-01,validation,EN,0.006744696608491
1989-11-01,validation,EN,0.0018532892196236
1989-12-01,validation,EN,0.0094869729595053
1990-01-01,validation,EN,0.016581278351185
1990-02-01,validation,EN,0.0111200583952102
1990-03-01,validation,EN,0.0127063758981674
1990-04-01,validation,EN,0.0111039573860793
1990-05-01,validation,EN,0.0133064108005106
1990-06-01,validation,EN,0.0043705754498283
1990-07-01,validation,EN,0.0204314386941582
1990-08-01,validation,EN,0.0147170968203682
1990-09-01,validation,EN,0.005182146249788
1990-10-01,validation,EN,0.0267598091226724
1990-11-01,validation,EN,0.0166250257940683
1990-12-01,validation,EN,0.0181168433310129
1991-01-01,validation,EN,-0.0069607116335032
1991-02-01,validation,EN,-0.0089593279326834
1991-03-01,validation,EN,-0.0063268601959188
1991-04-01,validation,EN,0.0118847194873419
1991-05-01,validation,EN,0.0103824199821641
1991-06-01,validation,EN,0.0026578292938056
1991-07-01,validation,EN,0.0169376132010927
1991-08-01,validation,EN,-0.0019780526297756
1991-09-01,validation,EN,0.007268032161023
1991-10-01,validation,EN,0.0041333449405358
1991-11-01,validation,EN,0.0009413943032023
1991-12-01,validation,EN,0.0334997350690237
1992-01-01,test,EN,0.0196746376124091
1992-02-01,test,EN,-0.0237259835079851
1992-03-01,test,EN,0.0083138768428191
1992-04-01,test,EN,0.0079063098985153
1992-05-01,test,EN,0.0064179980550417
1992-06-01,test,EN,0.0078175153596326
1992-07-01,test,EN,0.0172690816780676
1992-08-01,test,EN,0.0185584352079152
