,count,mean,std,min,25%,50%,75%,max
s&p_500,600.0,0.005476408885378957,0.03638054556112298,-0.2280448152703016,-0.0126718600139481,0.008076511112772,0.028377561889570274,0.1135225377330879
s&p:_indust,600.0,0.005851778133872178,0.03643867311779978,-0.2237636043128645,-0.012498768540188025,0.008421988926062149,0.029232452592058627,0.1142335438751418
s&p_div_yield,600.0,-0.0024188906183333306,0.12389909415877796,-0.6357460930000007,-0.06047031299999937,-0.007236546,0.04722505650000005,0.5914028770000002
s&p_pe_ratio,600.0,0.0008426332173792983,0.04758893312335341,-0.2219703486072592,-0.0201811851802862,0.0018417557469001,0.024081305919966225,0.2352064112411183
fedfunds,600.0,-0.008916666666666668,0.5532218515966527,-6.629999999999999,-0.1025000000000009,0.0,0.12000000000000002,3.0600000000000005
cp3mx,600.0,-0.008816666666666667,0.5412676949392635,-6.289999999999999,-0.11,0.0,0.1399999999999996,3.0299999999999994
tb3ms,600.0,-0.008116666666666668,0.4581350957947743,-4.619999999999999,-0.11250000000000025,0.0,0.1299999999999999,2.610000000000001
tb6ms,600.0,-0.008283333333333335,0.42979735068982083,-4.23,-0.1200000000000001,0.0,0.13249999999999992,2.17
gs1,600.0,-0.007999999999999998,0.4497960955209703,-3.91,-0.15999999999999995,0.0,0.1600000000000001,1.9000000000000004
gs5,600.0,-0.006266666666666669,0.3455890360799273,-2.0299999999999994,-0.1899999999999996,-0.00999999999999985,0.1799999999999997,1.8599999999999992
gs10,600.0,-0.005033333333333336,0.2987206983928343,-1.7599999999999998,-0.1600000000000001,-0.0100000000000006,0.1600000000000001,1.6099999999999994
aaa,600.0,-0.002483333333333331,0.23761193595665744,-1.1799999999999995,-0.1199999999999992,-0.0099999999999997,0.1099999999999994,1.290000000000001
baa,600.0,-0.002366666666666665,0.22921088165560066,-1.0199999999999996,-0.1200000000000001,-0.0099999999999997,0.1099999999999994,1.5700000000000012
compapffx,600.0,0.04351666666666666,0.4270590499088746,-2.78,-0.07,0.06,0.21,2.22
tb3smffm,600.0,-0.5459333333333334,0.7344597884547416,-5.37,-0.8025,-0.32,-0.07,0.68
tb6smffm,600.0,-0.41248333333333337,0.7931688730387021,-5.01,-0.6225,-0.195,0.01,1.19
t1yffm,600.0,-0.007049999999999995,0.8121585230797116,-5.0,-0.2,0.12,0.41,1.69
t5yffm,600.0,0.7364333333333334,1.455542264711962,-6.31,0.0525,1.005,1.72,3.16
t10yffm,600.0,1.1021,1.754130995464349,-6.51,0.13,1.4049999999999998,2.3525,3.85
aaaffm,600.0,2.1881000000000004,2.064384135708826,-6.27,1.1075000000000002,2.475,3.695,5.73
baaffm,600.0,3.2668999999999997,2.1371906864035517,-4.05,1.9449999999999998,3.66,4.8325,8.82
exszusx,600.0,-0.0024454385747402427,0.027155352739688162,-0.0874575753504878,-0.01783949899879265,-0.0008428413591578499,0.0136830245030628,0.1168709389109025
exjpusx,600.0,-0.002011828993100992,0.025506267423903415,-0.1052270892700608,-0.014439716466400925,-0.0001081499899995,0.0131376087589127,0.0806573963587133
exusukx,600.0,-0.0013479118045548173,0.02328029647913538,-0.1107606343693102,-0.0135549142878249,7.180587224718296e-05,0.012619818845918326,0.0952051517900253
excausx,600.0,0.0003601921792194407,0.01387928935238502,-0.060093803731657,-0.007043283181129425,0.0,0.008444398453836524,0.1129202264906821
wpsfd49207,600.0,-4.307747724223572e-06,0.006888753611408647,-0.0367654229205807,-0.0032630191726838497,-6.870916099410707e-06,0.003107755257800475,0.0368357175723583
wpsfd49502,600.0,-1.05933545779617e-06,0.008754020111680938,-0.0470347868478366,-0.004134449807936501,-3.5862417879783948e-06,0.0045879260939174,0.0471999191604766
wpsid61,600.0,-1.5687069447467706e-06,0.007874001705855822,-0.0443270094304768,-0.002955401883181025,-9.519480341779741e-07,0.0031104224143923,0.0443868816837365
wpsid62,600.0,3.7355748233756045e-05,0.043031335042273536,-0.3159694783469149,-0.015406866843368425,-3.9810898112335735e-05,0.0158601356145722,0.2461512099639389
oilpricex,600.0,-0.00014398442639632265,0.09943590730914115,-0.8525871289167235,-0.04652450529768645,0.0,0.03499974669068815,0.8525871289167235
ppicmm,600.0,3.932163687616571e-05,0.0340969999087181,-0.2057193448725156,-0.0169477885602491,-5.4839521579364003e-05,0.018156581108294125,0.1417508552367694
cpiaucsl,600.0,1.3313502400435385e-06,0.0028001359773534885,-0.0135031036188011,-0.0014720850125215252,-8.937429059274749e-06,0.00157735754994135,0.0179377006866672
cpiappsl,600.0,-3.898852758166554e-06,0.0054744757568883536,-0.0268282866909359,-0.0030558978989001,-1.4673097030293292e-05,0.0029687363860534752,0.0277511638817351
cpitrnsl,600.0,3.6473877097051215e-07,0.011661860903612497,-0.074197210624181,-0.004697133267431425,-3.083272031467743e-06,0.004551167661097475,0.0619712264625649
cpimedsl,600.0,-1.1377589562893132e-05,0.00255055343870277,-0.01544649589241,-0.00107883993410195,-3.0711497887470074e-05,0.001099923253776,0.0126802170473698
cusr0000sac,600.0,-7.13190798678789e-07,0.005565349507610442,-0.0347378165750047,-0.002391314721024525,-6.659784889118114e-06,0.0026170140512091,0.0254183400639078
cusr0000sad,600.0,-3.379616445166993e-06,0.002722560312243113,-0.0145868153830286,-0.001569063319198425,-4.74679412798551e-06,0.001565517008061925,0.0120920457650286
cusr0000sas,600.0,-7.197006747063558e-06,0.0024364502052422877,-0.0242296529565066,-0.000995730236341675,-1.1500767497008011e-05,0.00099962361012305,0.0143948992590976
cpiulfsl,600.0,-1.679139592373816e-06,0.002989142606278766,-0.0136147616863118,-0.001601381146869975,-8.991107794287245e-06,0.0017993061547882249,0.012510172541126
cusr0000sa0l2,600.0,1.747651198653152e-06,0.0037227220540859466,-0.0211538920815135,-0.0017960758994176999,-9.562352781600223e-06,0.001977770103922,0.0193762789631386
cusr0000sa0l5,600.0,3.023998670215798e-06,0.0029756163367618276,-0.0133826345482459,-0.00158589103919055,-9.508849684980447e-06,0.00167466027161485,0.0155335761674604
pcepi,600.0,-1.364309663860278e-06,0.0019558235752573133,-0.0080439245736094,-0.001133055323580425,7.042030119142062e-05,0.001172769253796025,0.0078301094089607
ddurrg3m086sbea,600.0,-1.1404059151356467e-05,0.002863542312023942,-0.0099617605321977,-0.0017523726866039248,-3.837346347523862e-05,0.001717778432093775,0.0134178420907398
