feature,train_mean_raw,train_std_raw,train_mean_standardized,train_std_standardized,full_standardized_min,full_standardized_max
unrate,0.013750000000000005,0.20294318786300758,0.0,0.9999999999999999,-3.5169941278433097,4.366985703399138
uempmean,0.022083333333333337,0.4651745117575648,-3.7007434154171884e-18,0.9999999999999999,-4.991854185131139,5.326853909738897
uemplt5,0.003341959951322916,0.050685624185594844,1.850371707708594e-17,1.0,-4.025059544821688,5.334939051727106
uemp5to14,0.005085777520785797,0.05718953154129274,-1.4802973661668754e-17,1.0,-2.7272394789609566,3.5326471898185217
uemp15ov,0.006488486521068208,0.054804723430188426,7.401486830834377e-18,1.0,-3.453381399994889,4.173938157550916
uemp15t26,0.005700575437846715,0.07580509426933782,-2.960594732333751e-17,0.9999999999999999,-4.864481119878078,3.7259397154849014
uemp27ov,0.007342329164382348,0.08354482020912983,1.4802973661668754e-17,1.0,-2.610136211128082,3.2760283627831677
claimsx,0.002406109191014774,0.057940008405869804,-3.3306690738754695e-17,0.9999999999999999,-3.909573757877863,3.40723957410784
payems,0.0018064415785113165,0.0025712807512519443,-5.551115123125783e-17,0.9999999999999999,-3.7157134872152136,4.0790610415951765
usgood,0.00022428261502250736,0.005603227796952582,1.1102230246251566e-17,1.0,-4.236582625498565,2.6815692536167197
ces1021000001,0.00047604666659905454,0.028223271699765407,-2.590520390792032e-17,1.0,-6.76284286402294,7.189799416092866
uscons,0.0016802075905519324,0.0105913098406987,7.401486830834377e-18,0.9999999999999999,-4.01881228134845,5.158008527953127
manemp,-0.00011965018869586775,0.005611489144259014,-7.401486830834377e-18,1.0,-5.284609139090788,2.97998161340663
dmanemp,-0.00012914692425086571,0.0075821689948943555,-3.7007434154171884e-18,0.9999999999999999,-6.13904447427272,3.796625040742482
ndmanemp,-0.00010458256111385081,0.003773575087782676,1.4802973661668754e-17,1.0,-4.3785743002362425,3.055877264905737
srvprd,0.0024300351432887594,0.0018574958694520269,-3.700743415417188e-17,1.0,-4.563793404662426,6.098746790809171
ustpu,0.002068416077391638,0.0023720924662381654,-5.181040781584064e-17,1.0,-4.029081062624921,2.6775190566296283
uswtrade,0.001913832487729208,0.002522612767400764,-2.2204460492503132e-17,1.0,-3.9509104061491596,2.4024619058316894
ustrade,0.0025669498837826766,0.00277945190271978,-2.7755575615628914e-17,1.0,-3.813559743345309,4.1434065067851575
usfire,0.003061379881448789,0.0015961166344691182,-3.3306690738754696e-16,1.0,-6.439361062467298,2.3936818390230448
usgovt,0.001738857578677359,0.0026999510781340014,-5.921189464667501e-17,1.0,-5.226003270806068,6.297946312392408
ces0600000007,39.807916666666664,0.4723829587550997,6.757557476551786e-15,1.0,-5.5207678819309365,3.793708685123034
awotman,-0.0016666666666666644,0.15967849643024015,1.295260195396016e-17,0.9999999999999999,-5.625887977507317,5.020504855623413
awhman,40.18750000000001,0.5503881206324621,-1.247890679678676e-14,0.9999999999999999,-5.246297824673115,3.656510605075181
houst,7.35547515389952,0.25214228831213253,1.7495264496384758e-15,0.9999999999999999,-4.703155624335636,1.8488289904126762
houstne,5.264935679558241,0.3302804788410117,-1.6875389974302379e-15,1.0,-5.090875328152594,2.1616478450322143
houstmw,5.71110555271855,0.36201751835729734,4.736951571734001e-16,0.9999999999999999,-4.512400715372458,1.848023784089147
housts,6.530016254498698,0.2636454316250162,-4.840572387365683e-15,0.9999999999999999,-4.141687336834148,2.0829799201377917
houstw,5.884709793932998,0.3418961552180322,-7.105427357601002e-16,1.0,-4.431936183955249,1.7097019487978857
permit,7.254672371602518,0.2777466565762519,-4.144832625267251e-15,1.0,-3.652236678331566,1.9313900862753952
permitne,5.245020060899494,0.3504214881557012,2.0724163126336256e-16,1.0,-3.380434963014417,2.3098448945865773
permitmw,5.591920688456354,0.3798457993247676,-1.0362081563168128e-15,0.9999999999999999,-3.2858472275364914,1.6759177441647723
permits,6.333955543467566,0.33289301076804606,1.5099033134902129e-15,1.0,-2.8937751294848475,2.0208885786377406
permitw,5.903244967623819,0.3397893542309328,1.5395092608135505e-15,1.0,-3.90987525823872,2.1447311420961186
amdmnox,0.005808764490381871,0.03363354699824462,4.810966440042345e-17,1.0,-6.422380776242241,6.092292907504208
amdmuox,0.0058309983624610295,0.010857885590944008,7.401486830834377e-18,0.9999999999999999,-2.921047110343409,4.344405869363532
businvx,0.006640833549065265,0.0067315939064920075,4.070817756958907e-17,1.0,-4.017126865556647,9.126625599748897
