alpha,l1_ratio,validation_monthly_sharpe,n_nonzero,sparsity_percent
3.1622776601683795e-05,0.25,0.8176321904727268,31,66.30434782608695
1.778279410038923e-05,0.75,0.8115476101204371,21,77.17391304347827
0.00017782794100389227,0.01,0.8063187338037087,80,13.043478260869565
0.0001,0.15,0.8061286859339757,41,55.43478260869565
1.778279410038923e-05,1.0,0.805113955560607,16,82.6086956521739
1.778279410038923e-05,0.9,0.8029388804594583,19,79.34782608695652
5.623413251903491e-05,0.25,0.8019412660840504,33,64.1304347826087
3.1622776601683795e-05,0.75,0.7975832356012883,18,80.43478260869566
3.1622776601683795e-05,0.9,0.7973095365744148,15,83.69565217391305
3.1622776601683795e-05,0.5,0.7963163926305363,23,75.0
0.00017782794100389227,0.025,0.7954547434085338,74,19.565217391304348
3.1622776601683795e-05,1.0,0.7883734657964395,14,84.78260869565217
5.623413251903491e-05,0.75,0.7840771743581642,13,85.8695652173913
0.00017782794100389227,0.05,0.7776196378729229,55,40.21739130434783
5.623413251903491e-05,0.5,0.772849053659672,18,80.43478260869566
0.0001,0.25,0.7589571627700379,30,67.3913043478261
0.00017782794100389227,0.075,0.7556232542711842,49,46.73913043478261
5.623413251903491e-05,0.9,0.7433477739706096,10,89.1304347826087
0.00017782794100389227,0.1,0.736880978817847,44,52.17391304347826
5.623413251903491e-05,1.0,0.7132717260320234,8,91.30434782608695
0.0001,0.5,0.7051976069011249,16,82.6086956521739
0.00031622776601683794,0.01,0.7036858869824987,77,16.304347826086957
0.00017782794100389227,0.15,0.6966807695105728,38,58.69565217391305
0.0001,0.75,0.6893353023140819,12,86.95652173913044
0.00031622776601683794,0.025,0.6883755633276509,62,32.608695652173914
0.00031622776601683794,0.05,0.6621774949112501,52,43.47826086956522
0.00017782794100389227,0.25,0.647179718525487,29,68.47826086956522
0.00031622776601683794,0.075,0.6408417328375297,47,48.91304347826087
0.0001,0.9,0.6303063418388327,9,90.21739130434783
0.00031622776601683794,0.1,0.6179203534827413,45,51.08695652173913
0.00017782794100389227,0.5,0.6035316963793016,18,80.43478260869566
0.0005623413251903491,0.01,0.5960426257648292,74,19.565217391304348
0.00031622776601683794,0.15,0.5922733546278274,35,61.95652173913044
0.0001,1.0,0.5914975919997202,8,91.30434782608695
0.0005623413251903491,0.025,0.5645329094591265,57,38.04347826086956
0.0005623413251903491,0.05,0.540543302120066,47,48.91304347826087
0.00031622776601683794,0.25,0.5203139204098068,28,69.56521739130434
0.0005623413251903491,0.075,0.5137459442862131,46,50.0
0.001,0.01,0.48796318347490336,72,21.73913043478261
0.0005623413251903491,0.1,0.4822960117467301,41,55.43478260869565
0.001,0.025,0.4775487582542159,57,38.04347826086956
0.001,0.05,0.44191049274138894,48,47.82608695652174
0.00017782794100389227,0.75,0.431575590303686,9,90.21739130434783
0.0017782794100389228,0.01,0.41817760562459755,69,25.0
0.0005623413251903491,0.15,0.4180816354653129,33,64.1304347826087
0.0017782794100389228,0.025,0.4080208241145948,59,35.869565217391305
0.001,0.075,0.39859859849344387,41,55.43478260869565
0.0031622776601683794,0.01,0.3512135226735613,71,22.82608695652174
0.001,0.1,0.347008410722662,35,61.95652173913044
0.0017782794100389228,0.05,0.3426272283813826,41,55.43478260869565
0.0031622776601683794,0.025,0.3123655541617167,51,44.56521739130435
0.0005623413251903491,0.25,0.27500790430595234,21,77.17391304347827
0.005623413251903491,0.01,0.2515427032710492,69,25.0
0.0017782794100389228,0.075,0.2442433200289239,32,65.21739130434783
0.00031622776601683794,0.5,0.22713115732182548,15,83.69565217391305
0.001,0.15,0.2152402579085113,26,71.73913043478261
0.00017782794100389227,0.9,0.21101650346552986,7,92.3913043478261
0.005623413251903491,0.025,0.17432103992360343,43,53.26086956521739
0.0031622776601683794,0.05,0.17366172829196685,35,61.95652173913044
0.01,0.01,0.14967106624616258,60,34.78260869565217
0.0017782794100389228,0.1,0.1443266119325055,25,72.82608695652173
0.0005623413251903491,0.9,0.13093081818277216,2,97.82608695652173
0.0005623413251903491,1.0,0.12978025855459685,2,97.82608695652173
0.0005623413251903491,0.75,0.1290927455872252,3,96.73913043478261
0.00031622776601683794,1.0,0.1264305741036549,3,96.73913043478261
0.001,0.5,0.10282529203422325,6,93.47826086956522
0.01778279410038923,0.01,0.08744511613407213,49,46.73913043478261
0.0031622776601683794,0.15,0.08295317944199097,11,88.04347826086956
0.0031622776601683794,0.075,0.0820496862555247,22,76.08695652173913
0.01,0.025,0.08146624142011985,33,64.1304347826087
0.0017782794100389228,0.25,0.07901710626467816,10,89.1304347826087
0.005623413251903491,0.075,0.07769178788079786,13,85.8695652173913
0.0031622776601683794,0.1,0.07674091971114227,16,82.6086956521739
0.005623413251903491,0.05,0.07361338019005384,21,77.17391304347827
0.01,0.05,0.0711612989376308,12,86.95652173913044
0.005623413251903491,0.1,0.07059382318109009,12,86.95652173913044
0.0017782794100389228,0.15,0.06827762720658498,14,84.78260869565217
0.01778279410038923,0.025,0.06724157431543426,20,78.26086956521739
0.03162277660168379,0.01,0.05832784393450766,35,61.95652173913044
0.001,0.25,0.056310981066938444,12,86.95652173913044
0.0005623413251903491,0.5,0.05264549775436314,8,91.30434782608695
0.00017782794100389227,1.0,0.047473558645297786,6,93.47826086956522
0.00031622776601683794,0.9,0.044629350471550484,4,95.65217391304348
0.01778279410038923,1.0,0.043671378659984855,1,98.91304347826087
0.01778279410038923,0.9,0.04224890139131853,2,97.82608695652173
0.01778279410038923,0.75,0.0412905581613616,3,96.73913043478261
0.0031622776601683794,0.5,0.04088946219612281,1,98.91304347826087
0.0017782794100389228,0.75,0.04088946219612281,1,98.91304347826087
0.001,0.9,0.04088946219612281,1,98.91304347826087
0.0031622776601683794,0.9,0.0408894621961228,1,98.91304347826087
0.0031622776601683794,0.25,0.0408894621961228,1,98.91304347826087
0.0031622776601683794,1.0,0.04088946219612279,1,98.91304347826087
0.001,0.75,0.04088946219612279,1,98.91304347826087
0.01,1.0,0.04088946219612279,1,98.91304347826087
0.0017782794100389228,0.9,0.04088946219612279,1,98.91304347826087
0.01,0.9,0.04088946219612279,1,98.91304347826087
0.0031622776601683794,0.75,0.040889462196122786,1,98.91304347826087
0.005623413251903491,1.0,0.040889462196122786,1,98.91304347826087
0.005623413251903491,0.75,0.04088946219612278,1,98.91304347826087
0.01,0.75,0.04088946219612277,1,98.91304347826087
0.0017782794100389228,1.0,0.04088946219612277,1,98.91304347826087
0.001,1.0,0.04088946219612275,1,98.91304347826087
0.005623413251903491,0.9,0.04088946219612275,1,98.91304347826087
0.0017782794100389228,0.5,0.04088946219612275,1,98.91304347826087
0.005623413251903491,0.5,0.040150377649827686,2,97.82608695652173
0.01,0.075,0.03913038952097445,6,93.47826086956522
0.03162277660168379,0.025,0.03902226225958846,6,93.47826086956522
0.01778279410038923,0.05,0.03888027743722447,6,93.47826086956522
0.01,0.1,0.03844446518356142,6,93.47826086956522
0.03162277660168379,0.05,0.038352751967425325,6,93.47826086956522
0.01778279410038923,0.075,0.03819369719670668,6,93.47826086956522
0.005623413251903491,0.15,0.038022052465421015,4,95.65217391304348
0.03162277660168379,0.075,0.037591839617716054,6,93.47826086956522
0.01778279410038923,0.1,0.037438389242061276,6,93.47826086956522
0.01,0.15,0.03689896232998392,6,93.47826086956522
0.03162277660168379,0.1,0.036724943106002134,6,93.47826086956522
0.03162277660168379,0.5,0.03616183610167459,3,96.73913043478261
0.005623413251903491,0.25,0.03599380863134073,3,96.73913043478261
0.01,0.5,0.035778551833840114,3,96.73913043478261
0.01778279410038923,0.15,0.03568924801806957,6,93.47826086956522
0.01778279410038923,0.5,0.03476080604684467,4,95.65217391304348
0.03162277660168379,0.15,0.03460008559335759,6,93.47826086956522
0.01,0.25,0.03306278236370349,5,94.56521739130434
0.01778279410038923,0.25,0.03190276947347765,5,94.56521739130434
0.03162277660168379,0.25,0.0305868862174936,4,95.65217391304348
0.00031622776601683794,0.75,0.0006622719231275426,5,94.56521739130434
