feature,train_mean,train_std,safe_train_std,zero_std_feature
gs1,0.001083333333333338,0.658725784922848,0.658725784922848,False
gs5,0.005833333333333326,0.45069591251258934,0.45069591251258934,False
gs10,0.008708333333333328,0.3753026533309113,0.3753026533309113,False
aaa,0.013874999999999993,0.29882754398091665,0.29882754398091665,False
baa,0.016416666666666666,0.2601147049326935,0.2601147049326935,False
compapffx,-0.07295833333333332,0.5787774456535277,0.5787774456535277,False
tb3smffm,-0.9168333333333333,0.9670328185859166,0.9670328185859166,False
tb6smffm,-0.7369166666666666,1.0816952711934273,1.0816952711934273,False
t1yffm,-0.1575,1.155122468254629,1.155122468254629,False
t5yffm,0.26908333333333334,1.859429121994765,1.859429121994765,False
t10yffm,0.3605833333333333,2.0770063777118155,2.0770063777118155,False
aaaffm,1.029,2.224997528088515,2.224997528088515,False
baaffm,2.260166666666667,2.337720928359262,2.337720928359262,False
exszusx,-0.003922150226381557,0.02740443173003041,0.02740443173003041,False
exjpusx,-0.0033354009909720684,0.02410363037907695,0.02410363037907695,False
exusukx,-0.002804610123652081,0.022150859810007063,0.022150859810007063,False
excausx,0.0010314580051801205,0.008712664321190056,0.008712664321190056,False
wpsfd49207,-4.027710962894743e-06,0.006310926720422535,0.006310926720422535,False
wpsfd49502,7.580598345204691e-06,0.00768953816502895,0.00768953816502895,False
wpsid61,-1.2960093393304696e-05,0.007305280541518696,0.007305280541518696,False
wpsid62,8.621309509821452e-05,0.031478707396226636,0.031478707396226636,False
oilpricex,9.842213268120377e-05,0.10080814108426825,0.10080814108426825,False
ppicmm,-3.242558517522985e-05,0.02549039603261243,0.02549039603261243,False
cpiaucsl,3.7517161117577003e-06,0.0028710903015407236,0.0028710903015407236,False
cpiappsl,3.3175288648096056e-06,0.003487530186254167,0.003487530186254167,False
cpitrnsl,-3.033722864658409e-07,0.00651959593228121,0.00651959593228121,False
cpimedsl,-4.218897466722859e-06,0.00348595014896452,0.00348595014896452,False
cusr0000sac,8.005125741226905e-06,0.0041183339978725165,0.0041183339978725165,False
cusr0000sad,1.6118472297617833e-18,0.0034603084083668113,0.0034603084083668113,False
cusr0000sas,-1.897691293322936e-05,0.0034819053399606083,0.0034819053399606083,False
cpiulfsl,-5.153777335383906e-06,0.0027649893742226427,0.0027649893742226427,False
cusr0000sa0l2,1.1547351501597289e-05,0.0033475661935007573,0.0033475661935007573,False
cusr0000sa0l5,7.631259764450051e-06,0.0030215463852266374,0.0030215463852266374,False
pcepi,1.2843340779729969e-06,0.0018308642060914486,0.0018308642060914486,False
ddurrg3m086sbea,7.940722868010308e-06,0.00291321297853995,0.00291321297853995,False
dndgrg3m086sbea,2.1145325268532424e-06,0.004252954966501407,0.004252954966501407,False
dserrg3m086sbea,-2.7414664757317644e-06,0.0017457320582658965,0.0017457320582658965,False
ces0600000008,-2.7838070338597587e-06,0.004875771140737513,0.004875771140737513,False
ces2000000008,7.014909827225184e-06,0.009520200859720785,0.009520200859720785,False
ces3000000008,-7.0994953961100366e-06,0.00551567788079671,0.00551567788079671,False
mzmsl,3.5745696175097595e-05,0.007453525006233954,0.007453525006233954,False
